台灣,#genre#
CCTV15,http://125.125.236.57:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://27.18.157.225:2701/rtp/239.69.1.155:10566
CCTV15,http://117.8.140.147:8834/rtp/225.1.2.194:5002
CCTV15,http://171.213.131.202:8188/udp/239.93.0.103:5140
CCTV15,http://171.15.18.199:8180/TV00000000000000000015@HHZT
CCTV15,http://101.66.194.13:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://171.15.158.121:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://60.26.181.220:4022/rtp/225.1.2.237:5002
CCTV16,http://112.66.98.143:4022/rtp/239.253.64.251:5140
CCTV16,http://171.35.84.178:8688/udp/239.252.220.237:5140
CCTV16,http://111.162.206.132:8686/rtp/225.1.2.237:5002
CCTV16,http://114.241.217.47:4022/rtp/239.3.1.184:8001
